"id","title","image_path","order","created_at","updated_at"
"1","Page 1","public/images/full_menu/h4s3EngzJT2321bRiC0cS2HmLO3vpnsINM5b5OxL.jpg",1,"2024-06-26 10:50:44","2024-06-26 13:12:07"
"3","Page 2","public/images/full_menu/pHmtbfBa46mYHf1msvTez1E6yIBZcwc2biS0vNAY.jpg",2,"2024-06-26 12:19:54","2024-06-26 12:19:54"
"4","Page 3","public/images/full_menu/S0VzcklV7I8kTZdtog0E44rU9AU0SoYzoqal1yoJ.jpg",3,"2024-06-26 13:12:23","2024-06-26 13:12:23"
"5","Page 4","public/images/full_menu/JncvI8sKBr23UCPloPmAnrQ0VgGuWzjEmO9Yj5lb.jpg",4,"2024-06-26 13:12:37","2024-06-26 13:12:37"
"6","Page 5","public/images/full_menu/1Dv8et9AKUbJr2jSRmyH3N6g4m28RFBYAZLgl9eY.jpg",5,"2024-06-26 13:12:46","2024-06-26 13:12:46"
"7","Page 6","public/images/full_menu/D0tGzOZKb7YPqXrHMKRYP7JgIPBwmnJOIDBMIkSG.jpg",6,"2024-06-26 13:13:02","2024-06-26 13:13:02"
"8","Page 7","public/images/full_menu/uQdbOCivYKFpwrJO4S0OnANHBXb148NVbfCut86B.jpg",7,"2024-06-26 13:13:14","2024-06-26 13:13:14"
"9","Page 8","public/images/full_menu/tmqekVVvAV7krDgeLeNlYWE13ygrON7xGyv74mwL.jpg",8,"2024-06-26 13:13:23","2024-06-26 13:13:23"
"10","Page 9","public/images/full_menu/AHGt5CD7Zp4VGmJRWfF5rRVG1pXEUoxMkK5E1GMB.jpg",9,"2024-06-26 13:13:33","2024-06-26 13:13:33"
"11","Page 10","public/images/full_menu/8trYf2Snv1WLMPxpNwQkCwMcvrR8XROynMNHTCrL.jpg",10,"2024-06-26 13:13:58","2024-06-26 13:13:58"
"12","Page 11","public/images/full_menu/PWYFQeUei7IscxIIYnLWeaYrreRYU3I68d8KxALp.jpg",11,"2024-06-26 13:14:07","2024-06-26 13:14:07"
"13","Page 12","public/images/full_menu/MNDq3Q3ZVloT3xAIeo3V7R7JwERYPNNECxKHyG3y.jpg",12,"2024-06-26 13:14:16","2024-06-26 13:14:16"
